id,child_id,date,subject,type,score,max_score,stamp,memo,photo_uri,photo_rotation,created_at,user_id
02393457-3bca-4ab4-9e40-531a9fa1a171,,2026-01-26,国語,テスト,,100,大変よくできました,,,0,2026-01-26 09:55:25.771132+00,34787f85-b2fe-4398-95e4-52d6eb07d039
05e93725-0f99-4d18-9184-e4cb4c5be0b1,dde8fdf3-5bd3-4705-ae82-a0718a3d9b4c,2026-01-28,算数,テスト,80,100,,,,0,2026-01-28 08:24:40.772947+00,b4d31cf6-6591-4f70-b96f-0971f5a6f7d3
0e984fac-84e3-4579-9808-05b9bc66a2a9,8f690786-f029-4c9e-993e-220158ef3a91,2026-01-26,国語,テスト,,100,大変よくできました,,https://dzqzkwoxfciuhikvnlmg.supabase.co/storage/v1/object/public/test-images/3fdf304d-3ccf-40db-9b44-6d823eb52a01/1769416424043.jpg,0,2026-01-26 08:33:42.636325+00,3fdf304d-3ccf-40db-9b44-6d823eb52a01
238befc1-770d-4bcc-9105-8ffea4b21b06,,2026-01-27,算数,テスト,40,50,,,https://dzqzkwoxfciuhikvnlmg.supabase.co/storage/v1/object/public/test-images/34787f85-b2fe-4398-95e4-52d6eb07d039/1769473488589.jpg,0,2026-01-27 00:24:48.976191+00,34787f85-b2fe-4398-95e4-52d6eb07d039
2525ee15-4029-45ef-aa41-7b81f3c800ad,,2026-01-27,国語,テスト,90,100,,,https://dzqzkwoxfciuhikvnlmg.supabase.co/storage/v1/object/public/test-images/34787f85-b2fe-4398-95e4-52d6eb07d039/1769473550205.jpg,270,2026-01-27 00:25:50.888147+00,34787f85-b2fe-4398-95e4-52d6eb07d039
2714499c-d194-4050-8a18-0e59e8d1834d,,2026-01-27,国語,テスト,,100,大変よくできました,,https://dzqzkwoxfciuhikvnlmg.supabase.co/storage/v1/object/public/test-images/34787f85-b2fe-4398-95e4-52d6eb07d039/1769475470760.jpg,90,2026-01-27 00:57:51.391556+00,34787f85-b2fe-4398-95e4-52d6eb07d039
2c066439-0874-4f42-af46-13b435f94ad1,,2026-01-27,算数,テスト,85,100,,,https://dzqzkwoxfciuhikvnlmg.supabase.co/storage/v1/object/public/test-images/34787f85-b2fe-4398-95e4-52d6eb07d039/1769473456843.jpg,0,2026-01-27 00:24:17.707268+00,34787f85-b2fe-4398-95e4-52d6eb07d039
32fd23e8-5f13-4ecc-a601-b74bc3042917,,2026-01-26,国語,テスト,,100,大変よくできました,,https://dzqzkwoxfciuhikvnlmg.supabase.co/storage/v1/object/public/test-images/34787f85-b2fe-4398-95e4-52d6eb07d039/1769421808367.jpg,0,2026-01-26 10:03:28.740677+00,34787f85-b2fe-4398-95e4-52d6eb07d039
39680fec-dd18-44bd-84ad-240f4df168b0,dde8fdf3-5bd3-4705-ae82-a0718a3d9b4c,2026-01-28,国語,テスト,100,100,,,https://dzqzkwoxfciuhikvnlmg.supabase.co/storage/v1/object/public/test-images/b4d31cf6-6591-4f70-b96f-0971f5a6f7d3/1769582575686.jpg,270,2026-01-28 06:42:56.884355+00,b4d31cf6-6591-4f70-b96f-0971f5a6f7d3
4331f608-43c8-40ce-ab7c-a3f9ec6cb54f,dde8fdf3-5bd3-4705-ae82-a0718a3d9b4c,2026-01-29,算数,テスト,40,100,,,https://dzqzkwoxfciuhikvnlmg.supabase.co/storage/v1/object/public/test-images/b4d31cf6-6591-4f70-b96f-0971f5a6f7d3/1769647972178.jpg,0,2026-01-29 00:52:52.858584+00,b4d31cf6-6591-4f70-b96f-0971f5a6f7d3
45a87cc3-31e7-4abc-81c0-2e032a2f4e3c,,2026-01-28,算数,テスト,85,100,,,https://dzqzkwoxfciuhikvnlmg.supabase.co/storage/v1/object/public/test-images/b4d31cf6-6591-4f70-b96f-0971f5a6f7d3/1769582177008.jpg,0,2026-01-28 06:36:17.727633+00,b4d31cf6-6591-4f70-b96f-0971f5a6f7d3
46880167-f8d3-4da9-aee5-74bdb6092ab4,,2026-01-27,国語,テスト,,100,大変よくできました,,https://dzqzkwoxfciuhikvnlmg.supabase.co/storage/v1/object/public/test-images/b4d31cf6-6591-4f70-b96f-0971f5a6f7d3/1769558056883.jpg,0,2026-01-27 23:54:17.518665+00,b4d31cf6-6591-4f70-b96f-0971f5a6f7d3
48dc1680-98c0-49c5-828a-740aef398048,,2026-01-28,国語,テスト,90,100,,,https://dzqzkwoxfciuhikvnlmg.supabase.co/storage/v1/object/public/test-images/b4d31cf6-6591-4f70-b96f-0971f5a6f7d3/1769558500586.jpg,0,2026-01-28 00:01:41.115166+00,b4d31cf6-6591-4f70-b96f-0971f5a6f7d3
4f6d5041-50f8-4fb7-9bbe-b65327db2a11,,2026-01-26,社会,テスト,80,100,,,https://dzqzkwoxfciuhikvnlmg.supabase.co/storage/v1/object/public/test-images/34787f85-b2fe-4398-95e4-52d6eb07d039/1769418366821.jpg,0,2026-01-26 09:06:05.710083+00,34787f85-b2fe-4398-95e4-52d6eb07d039
5201493d-c430-4423-9d60-0999e253b1c9,,2026-01-27,国語,テスト,90,100,,,https://dzqzkwoxfciuhikvnlmg.supabase.co/storage/v1/object/public/test-images/b4d31cf6-6591-4f70-b96f-0971f5a6f7d3/1769557759479.jpg,270,2026-01-27 23:49:19.988792+00,b4d31cf6-6591-4f70-b96f-0971f5a6f7d3
53e3c08d-2013-4d60-a559-4a8660c7d0b5,,2026-01-28,国語,テスト,80,100,,,https://dzqzkwoxfciuhikvnlmg.supabase.co/storage/v1/object/public/test-images/b4d31cf6-6591-4f70-b96f-0971f5a6f7d3/1769559965717.jpg,0,2026-01-28 00:26:06.388847+00,b4d31cf6-6591-4f70-b96f-0971f5a6f7d3
549b72c8-0842-44b1-830e-42e48f966385,,2026-01-25,国語,テスト,80,100,,,https://dzqzkwoxfciuhikvnlmg.supabase.co/storage/v1/object/public/test-images/afe6e902-b818-4d23-a43b-e8156c6b43cf/1769347698422.jpg,0,2026-01-25 13:28:23.209159+00,afe6e902-b818-4d23-a43b-e8156c6b43cf
